,system:id,y,x,relativeOrbitNumber_start,timestamp,year,datedif
195,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200417T010434_20200417T010459_021177_0282EF_EE53,49.98,-108.9,151,2020-04-17 01:04:34+00:00,2020,12.0
196,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200429T010434_20200429T010459_021352_028875_CA48,49.98,-108.9,151,2020-04-29 01:04:34+00:00,2020,12.0
197,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200511T010435_20200511T010500_021527_028DEC_D408,49.98,-108.9,151,2020-05-11 01:04:35+00:00,2020,12.0
198,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200523T010436_20200523T010501_021702_029313_A82A,49.98,-108.9,151,2020-05-23 01:04:36+00:00,2020,12.0
199,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200616T010437_20200616T010502_022052_029D9A_908E,49.98,-108.9,151,2020-06-16 01:04:37+00:00,2020,24.0
200,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200628T010438_20200628T010503_022227_02A2F2_8329,49.98,-108.9,151,2020-06-28 01:04:38+00:00,2020,12.0
201,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200710T010438_20200710T010503_022402_02A846_47D3,49.98,-108.9,151,2020-07-10 01:04:38+00:00,2020,12.0
202,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200722T010439_20200722T010504_022577_02AD97_6145,49.98,-108.9,151,2020-07-22 01:04:39+00:00,2020,12.0
203,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200803T010440_20200803T010505_022752_02B2E3_760E,49.98,-108.9,151,2020-08-03 01:04:40+00:00,2020,12.0
204,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200815T010441_20200815T010506_022927_02B84B_6512,49.98,-108.9,151,2020-08-15 01:04:41+00:00,2020,12.0
205,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200827T010441_20200827T010506_023102_02BDCC_5B18,49.98,-108.9,151,2020-08-27 01:04:41+00:00,2020,12.0
206,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200908T010442_20200908T010507_023277_02C345_25C3,49.98,-108.9,151,2020-09-08 01:04:42+00:00,2020,12.0
207,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200920T010442_20200920T010507_023452_02C8BF_3F13,49.98,-108.9,151,2020-09-20 01:04:42+00:00,2020,12.0
208,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201002T010442_20201002T010507_023627_02CE3B_7F7A,49.98,-108.9,151,2020-10-02 01:04:42+00:00,2020,12.0
